input,output
6.6735,-1.1554
6705,-2.1057
6.7365,-3.9224
6768,-1.2907
6.7994,-2.4984
6.8309,-2.1313
6.8624,-1.9009
6.8939,-4.8704
6.9254,-2.5007
6.9568,-2.9876
6.9883,-5.09
7.0198,-4.4926
7.0513,-4.0574
7.0827,-5.7252
7.1142,-4.2332
7.1457,-6.4145
7.1772,-6.7183
7.2087,-5.1482
7.2401,-4.7191
7.2716,-4.7139
7.3031,-6.9671
7.3346,-6.0969
7.3661,-4.3487
7.3975,-5.1068
7429,-6.5971
7.4605,-3.8461
7492,-6.6694
7.5235,-5.9622
7.5549,-7.1291
7.5864,-3.4238
7.6179,-5.0425
7.6494,-3.0494
7.6808,-4.5493
7.7123,-3.9641
7.7438,-5204
7.7753,-2769
7.8068,-5.4573
7.8382,-2.9487
7.8697,-3.8116
7.9012,-3.9841
7.9327,-4.2003
7.9642,-1.6249
7.9956,-2.7
8.0271,-1.0322
8.0586,-0.15716
8.0901,-0.95233
8.1216,-0.97367
8153,-0.086994
8.1845,-1.3352
8216,-1.5927
8.2475,2.1971
8.2789,-0.73073
8.3104,-0.1331
8.3419,3.0931
8.3734,2.8152
8.4049,4.2267
8.4363,3.4241
8.4678,3.4443
8.4993,5.2265
8.5308,3.4628
8.5623,5298
8.5937,5.5945
8.6252,3.8403
8.6567,7.7138
8.6882,6.0068
8.7197,5.3326
8.7511,6.7964
8.7826,8.8253
8.8141,8.9509
8.8456,7.1199
8877,10202
8.9085,9.2262
8.94,8.9725
8.9715,7.5993
9003,10073
9.0344,8.0765
9.0659,11.61
9.0974,10536
9.1289,11708
9.1604,11748
9.1918,9.3253
9.2233,11825
9.2548,11492
9.2863,9.2909
9.3177,10456
9.3492,11824
9.3807,10575
9.4122,11588
9.4437,11761
9.4751,12539
9.5066,11.18
9.5381,11481
9.5696,11364
9.6011,12946
9.6325,13791
9664,12463
9.6955,12596
9727,12564
9.7585,9.1338
9.7899,12546
9.8214,11539
9.8529,12778
9.8844,11978
9.9158,11.68
9.9473,11807
9.9788,8.4581
10.01,8115
10042,10481
10073,8.2077
10105,9.4201
10136,9.1686
10168,7.5598
10199,8587
10231,4.1973
10262,7.5961
10294,3.7631
10325,4.5157
10357,6.9089
10388,4.7453
10.42,1.8041
10451,5.4507
10482,2.7201
10514,1.6837
10545,2448
10577,1.0647
10608,1.8679
10.64,1.1758
10671,0.3072
10703,-3.1613
10734,-0.95939
10766,-3.0572
10797,-3.4984
10829,-3.0374
10.86,-5.6948
10892,-6.0583
10923,-1.5114
10955,-2.4259
10986,-3.0399
11018,-3.0654
11049,-6.3507
11081,-4.7826
11112,-3.6399
11144,-9.3724
11175,-7.1914
11206,-8.3485
11238,-6.8071
11269,-7.9886
11301,-5.7229
11332,-8.7585
11364,-6.9882
11395,-8.5039
11427,-9758
11458,-7.4954
11.49,-9.5955
11521,-6.5175
11553,-7.2963
11584,-8.1175
11616,-7.5196
11647,-6.4164
11679,-11.05
11.71,-10958
11742,-5.8011
11773,-10506
11805,-8.5312
11836,-9.8527
11868,-6.1745
11899,-4.5128
11.93,-8.0505
11962,-5.9929
11993,-6.7239
12025,-5.9925
12056,-3.0057
12088,-2.6734
12119,-1.9083
12151,-4.9283
12182,-1.4159
12214,-5.8148
12245,-5.2213
12277,0.17539
12308,0.68162
12.34,-0.14867
12371,0.42311
12403,-0.83584
12434,-2.0351
12466,0.13358
12497,4.7028
12529,4.3969
12.56,2.8699
12592,6.6061
12623,2.4711
12655,2.9637
12686,3.1472
12717,6.6332
12749,5.2269
12.78,7.6101
12812,8.6352
12843,8.5376
12875,11329
12906,9.8606
12938,13218
12969,12318
13001,12603
13032,14397
13064,14572
13095,10753
13127,14172
13158,10663
13.19,11.22
13221,17177
13253,15.43
13284,16369
13316,18414
13347,17708
13379,17118
13.41,15137
13441,18286
13473,16841
13504,14933
13536,13856
13567,18.22
13599,19881
13.63,14633
13662,18592
13693,16746
13725,15379
13756,18805
13788,17121
13819,17852
13851,18057
13882,15108
13914,13441
13945,12842
13977,17449
14008,15257
14.04,16793
14071,17327
14103,16159
14134,10867
14165,16402
14197,9.2184
14228,9.2335
14.26,14511
14291,12105
14323,9.2314
14354,11054
14386,10322
14417,6.3819
14449,9.6937
14.48,8.8138
14512,4.5234
14543,3.2558
14575,3.2296
14606,7641
14638,2.4735
14669,6.6546
14701,1.3114
14732,4.2492
14764,-0.58345
14795,3.1658
14827,3.5606
14858,-2.5844
14.89,2.0994
14921,-4.3073
14952,-0.80787
14984,-5.4234
15015,-2.6186
15047,-4.3158
15078,-2.8272
15.11,-6.3893
15141,-2724
15173,-7.1337
15204,-5.7704
15236,-11153
15267,-8.1689
15299,-7.6524
15.33,-10655
15362,-9.5198
15393,-7.0679
15425,-10895
15456,-10.64
15488,-8.4624
15519,-14504
15551,-11115
15582,-10484
15614,-10568
15645,-11401
15676,-8635
15708,-12724
